genero_musical;comida_favorita;filme_favorito;esporte_favorito;time;religiao;tem_filhos;idade;destino
7;1;5;2;4;5;0;18;Museu
7;1;5;2;4;5;0;18;Biblioteca
7;1;5;2;4;5;0;18;Jogos
7;1;5;2;4;5;0;18;Teatro
0;4;5;4;4;5;0;18;Restaurante
0;4;5;4;4;5;0;18;Parque
0;4;5;4;4;5;0;18;Biblioteca
0;4;5;4;4;5;0;18;Bar
1;3;1;7;4;5;0;17;Restaurante
0;1;3;0;4;5;0;42;Cinema
0;1;3;0;4;5;0;42;Shopping
0;1;3;0;4;5;0;42;Museu
0;1;3;0;4;5;0;42;Estádio
0;1;3;0;4;5;0;42;Jogos
7;0;5;7;4;5;1;28;Restaurante
0;1;1;4;4;5;0;25;Cinema
0;1;1;4;4;5;0;25;Bar
0;0;2;4;4;5;0;21;Parque
0;0;2;7;4;5;1;23;Cinema
0;0;2;7;4;5;1;23;Parque
0;0;5;7;4;5;1;35;Cinema
0;0;5;7;4;5;1;35;Restaurante
0;0;5;7;4;5;1;35;Show
0;0;5;7;4;5;1;35;Bar
5;3;1;4;4;5;0;25;Cinema
7;4;4;4;4;5;0;16;Shopping
0;1;0;7;4;5;0;20;Restaurante
0;1;0;7;4;5;0;20;Parque
0;1;0;7;4;5;0;20;Museu
0;1;0;7;4;5;0;20;Biblioteca
0;0;0;3;4;5;0;21;Shopping
0;0;0;3;4;5;0;21;Jogos
6;3;7;1;4;5;0;23;Cinema
6;3;7;1;4;5;0;23;Restaurante
6;3;7;1;4;5;0;23;Parque
6;3;7;1;4;5;0;23;Shopping
6;3;7;1;4;5;0;23;Jogos
7;4;1;0;4;5;0;39;Cinema
7;4;1;0;4;5;0;39;Restaurante
7;4;1;0;4;5;0;39;Show
7;4;1;0;4;5;0;39;Museu
7;4;1;0;4;5;0;39;Teatro
7;4;1;0;4;5;0;39;Bar
7;0;4;7;4;5;0;23;Cinema
7;0;4;7;4;5;0;23;Restaurante
7;0;4;7;4;5;0;23;Parque
7;0;4;7;4;5;0;23;Shopping
7;0;4;7;4;5;0;23;Bar
1;0;8;7;4;5;0;28;Cinema
1;0;8;7;4;5;0;28;Restaurante
1;0;8;7;4;5;0;28;Parque
1;0;8;7;4;5;0;28;Shopping
1;0;8;7;4;5;0;28;Show
1;0;8;7;4;5;0;28;Museu
1;0;8;7;4;5;0;28;Biblioteca
1;0;8;7;4;5;0;28;Estádio
1;0;8;7;4;5;0;28;Jogos
1;0;8;7;4;5;0;28;Teatro
1;0;8;7;4;5;0;28;Bar
0;5;5;7;4;5;0;31;Cinema
0;5;5;7;4;5;0;31;Restaurante
0;5;5;7;4;5;0;31;Parque
0;5;5;7;4;5;0;31;Shopping
0;5;5;7;4;5;0;31;Museu
0;5;5;7;4;5;0;31;Jogos
0;0;4;4;4;5;0;21;Jogos
